BinBase name	ret.index	quant mz	BB id	PubChem	KEGG	InChI Key	KnownUnknown	Cut into 2 clusters
glucoheptulose	828606	217	3191	5459879	C02076	HSNZZMHEPUFJNZ-SHUUEZRQSA-N	Known	1
galactonic acid	690882	292	4706	128869	C00880	RGHNJXZEOKUKBD-MGCNEYSASA-N	Known	1
fucose	578299	160	3009	439650	C02095	SHZGCJCMOBCMKK-FPRJBGLDSA-N	Known	1
ethanolamine	344719	174	3212	700	C00189	HZAXFHJVJLSVMW-UHFFFAOYSA-N	Known	1
deoxypentitol	528774	231	33037	270738		FJGNTEKSQVNVTJ-UHFFFAOYSA-N	Known	1
cystine	804619	218	94	595	C01420	LEVWYRKDKASIDU-UHFFFAOYSA-N	Known	1
creatinine	502599	115	31	588	C00791	DDRJAANPRJIHGJ-UHFFFAOYSA-N	Known	1
citrulline	622918	157	46151	9750	C00327	RHGKLRLOHDJJDR-BYPYZUCNSA-N	Known	1
cis-gondoic acid	847372	367	87783	5282768	C16526	                           	Known	1
cholesterol	1078536	129	19	5997	C00187	HVYWMOMLDIMFJA-DPAQBDIFSA-N	Known	1
butane-2,3-diol NIST	205778	117	485	262	C03046	OWBTYPJTUOEWEK-UHFFFAOYSA-N	Known	1
benzoic acid	339067	179	36	243	C00180	WPYMKLBDIGXBTP-UHFFFAOYSA-N	Known	1
aspartic acid	480387	232	79	5960	C00049	CKLJMWTZIZZHCS-REOHCLBHSA-N	Known	1
arachidonic acid	834339	91	6529	444899	C00219	YZXBAPSDXZZRGB-DOFZRALJSA-N	Known	1
arabinose	550621	217	17886	6902	C00216	SRBFZHDQGSBBOR-ZRMNMSDTSA-N	Known	1
alpha-ketoglutarate	507392	198	294	51	C00026	KPGXRSRHYNQIFN-UHFFFAOYSA-N	Known	1
allantoic acid	726050	259	117021	203	C00499	NUCLJNSWZCHRKL-UHFFFAOYSA-N	Known	1
adipic acid	474435	111	125	196	C06104	WNLRTRBMVRJNCN-UHFFFAOYSA-N	Known	1
acetophenone NIST	238615	105	3524	7410	C07113	KWOLFJPFCHCOCG-UHFFFAOYSA-N	Known	1
5-hydroxy-3-indoleacetic acid	777606	290	31552	1826	C05635	DUUGKQCEGZLZNO-UHFFFAOYSA-N	Known	1
3-phosphoglycerate	610734	227	1667	724	C00597	OSJPPGNTCRNQQC-UHFFFAOYSA-N	Known	1
