BinBase name	ret.index	quant mz	BB id	PubChem	KEGG	InChI Key	KnownUnknown	Cut into 2 clusters
17076	662249	204	17076				Unknown	1
16947	481943	170	16947				Unknown	1
16794	628617	157	16794				Unknown	1
16572	292289	209	16572				Unknown	1
14736	693311	159	14736				Unknown	1
12087	922490	129	12087				Unknown	1
11731	807716	204	11731				Unknown	1
11353	911271	259	11353				Unknown	1
8270	811465	246	8270				Unknown	1
7458	395250	160	7458				Unknown	1
7053	837151	217	7053				Unknown	1
6376	433059	218	6376				Unknown	1
6050	200668	110	6050				Unknown	1
5930	733027	202	5930				Unknown	1
5691	302228	89	5691				Unknown	1
5346	494094	85	5346				Unknown	1
5085	799884	98	5085				Unknown	1
4937	1200184	316	4937				Unknown	1
4746	548258	275	4746				Unknown	1
4723	455671	173	4723				Unknown	1
4603	590717	116	4603				Unknown	1
4550	447676	350	4550				Unknown	1
4543	642404	157	4543				Unknown	1
4529	629429	245	4529				Unknown	1
4219	846127	98	4219				Unknown	1
3465	564741	129	3465				Unknown	1
3228	295060	184	3228				Unknown	1
3143	459926	155	3143				Unknown	1
2936	380544	85	2936				Unknown	1
2476	292320	145	2476				Unknown	1
2438	492298	245	2438				Unknown	1
2039	834909	131	2039				Unknown	1
1996	320124	156	1996				Unknown	1
1941	417425	142	1941				Unknown	1
1922	235421	128	1922				Unknown	1
1878	573497	85	1878				Unknown	1
1872	471634	85	1872				Unknown	1
1806	642597	174	1806				Unknown	1
1708	759197	156	1708				Unknown	1
1704	505341	223	1704				Unknown	1
1029	220340	85	1029				Unknown	1
816	737051	217	816				Unknown	1
782	571259	304	782				Unknown	1
573	1029621	129	573	65095		WJNGQIYEQLPJMN-IOSLPCCCSA-N	Unknown	1
453	280176	86	453				Unknown	1
443	222093	131	443				Unknown	1
299	430778	104	299				Unknown	1
168	878989	122	168				Unknown	1
134	974612	144	134				Unknown	1
91	221732	100	91				Unknown	1
54	773271	211	54				Unknown	1
