,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
239,1238,1207,1415,1045,1163,1361,1578,1378,1038,1005,1465,959,2036,1093,1486,1771,1131,1840,1603,1525
240,1406,1257,1327,1487,1718,835,1499,1304,1456,1535,1158,1253,1517,1030,285,1835,1330,1286,1564,1498
241,8100,6232,8494,6782,6274,4185,6865,5970,5090,7326,5768,5760,6292,7370,7408,6761,7873,6219,4134,5852
242,425,322,508,493,343,551,742,276,436,812,632,569,905,1112,1039,685,464,751,528,735
243,546,394,316,476,460,956,556,727,408,378,4196,467,425,289,397,373,597,423,319,613
244,1483,1973,1991,1698,1564,1686,2087,1775,1589,817,1925,1658,1269,1405,1243,1250,2180,1314,2170,1336
245,1959,1720,3037,4590,3631,4357,4921,3082,3498,3807,3620,2804,128,1988,2970,5050,2446,2287,2794,2170
246,744,1291,1345,803,941,1439,1309,739,1087,1066,772,851,491,1074,676,1220,797,1139,1156,652
247,876,981,1056,668,806,856,1197,827,807,765,802,467,1204,1175,1078,708,1052,899,964,962
248,5319,4941,2338,3539,5168,4592,5083,3164,7282,6214,4803,4443,3811,1569,5025,3981,5756,3174,7707,3014
249,972,2022,2201,966,2356,1368,2269,1135,1583,2818,1151,440,1359,1613,1215,2149,1343,4211,1517,1226
250,4333,3612,1590,3493,4357,4858,3926,3777,4429,3274,3336,4756,4441,3876,4029,5180,3827,5376,3202,5395
251,1302,1217,1081,1026,912,1013,1288,1288,1323,1340,967,886,865,1169,988,1082,1129,791,1109,1120
252,2004,4508,2643,2312,2551,3508,2671,5825,1779,1554,4544,3426,530,2595,3597,3320,6230,4623,4393,1988
253,2069,1884,2035,1782,1694,2092,1793,1536,2560,2529,1795,2551,1903,1462,2063,1643,2229,2550,2854,1785
254,3779,3575,2117,1784,5212,1983,1654,3135,1965,3451,1488,2017,2112,1913,1803,2324,2236,2533,1698,1886
255,1595,939,1034,1019,746,876,1175,1086,1370,933,914,807,992,907,1109,1093,976,1066,970,1177
256,6837,8394,9400,6193,6912,9649,8285,4041,10006,6279,6217,3349,7940,9027,8907,4282,7924,10511,8837,9912
257,14178,13330,23510,19611,7021,14342,13431,16486,11023,12233,18010,21724,3669,12818,21701,15010,14533,9872,15600,20392
258,9650,9809,11177,10294,7241,8441,9195,8038,10145,7644,6036,7857,8747,7840,7759,7826,9432,9159,8815,8795
259,50335,49212,37883,46129,37175,39144,51105,43097,51114,47751,38982,36059,36620,53603,41822,37499,32410,28658,28047,31148
260,1455,5248,5140,4208,5886,5013,6640,3578,7992,6789,5230,4635,9003,4251,5312,723,5853,5809,8673,4872
261,1640,1486,2486,2308,1319,1684,1642,1334,1728,1683,1511,2138,2135,1326,2254,1812,1471,1511,1617,1085
262,12481,6987,9698,11265,10988,1242,7412,6966,10137,11758,5709,12682,26007,11773,14415,24943,6828,11010,2633,13973
263,3501,3780,6313,2221,779,3404,5166,3691,4372,3522,1701,3650,3068,3768,3186,1904,3365,5226,3714,4157
264,2162,6189,11176,2565,5194,4628,7483,4471,5154,6501,7302,10472,9311,2373,7175,5496,4440,3665,824,7976
265,2782,2176,3745,3543,2031,2755,2492,2569,2936,2586,1896,3020,3746,2298,1967,2670,3097,2109,2726,3423
266,3153,3031,4249,4626,3477,3346,4550,4594,4409,4656,3455,4057,3618,3346,2748,3019,2760,4023,3221,3567
267,830,1062,827,1137,755,822,1193,975,972,1239,620,831,1088,760,848,883,1006,1096,746,893
268,1262,1562,1728,1783,1649,1221,1837,1644,2067,2419,1702,1636,1271,1765,1188,1674,1786,1747,1297,1487
269,2483,2342,2684,2682,1571,2717,4281,803,4709,4786,5411,8137,9050,4262,4757,4968,5536,3746,4087,3647
270,445,208,179,488,189,1392,1152,1258,839,277,2402,1139,290,166,271,162,1022,121,109,193
271,2889,2277,2639,2908,330,2412,4160,1897,2485,3128,2033,1935,221,1743,2489,4997,2762,2595,2295,2628
272,855,900,959,765,588,827,975,835,826,1229,692,786,978,1090,857,512,1342,1123,999,673
273,945,1157,888,959,614,926,1145,1092,1320,834,1214,1239,1081,742,928,979,402,876,1544,843
274,2805,5553,4905,4593,3655,5024,4032,4083,4077,5184,4139,4762,2339,5645,3268,4575,5313,5992,4409,4493
275,2163,2734,4998,3958,2828,3008,2871,2547,3012,1944,3398,3839,3561,2815,4227,3610,2755,2614,3444,3788
276,6104,5975,6704,8376,7060,7222,7923,4498,7457,9485,4994,7563,10984,6462,755,14235,4690,7147,4919,6853
277,7077,4508,4827,1393,3883,4027,3764,4933,4806,4207,6885,3841,7547,4597,6339,3718,3754,4875,3833,4813
278,3462,1519,6030,5280,3170,2589,3334,1375,3438,3795,3934,4498,5747,2900,4385,3616,1135,2685,3449,4254
279,1030,927,897,799,862,861,944,603,884,805,541,695,882,973,989,571,1157,684,794,712
280,5838,6100,5851,2799,7583,6712,9585,3039,7606,4411,3688,7069,8144,6644,6237,4712,8206,7771,7503,4160
281,1195,694,1154,577,988,714,841,1040,1069,944,1215,937,1621,1429,1212,532,1876,1185,940,1081
282,1619,1378,962,1044,1419,1317,1142,1304,2273,1692,1246,1897,1843,1607,1199,815,864,1694,1539,1294
283,8001,7821,10627,9873,2642,4088,11792,2217,3850,8068,7656,5777,6589,10417,8852,11065,12878,13983,8757,7599
284,268,1208,596,466,238,609,359,173,1361,358,1147,914,674,182,502,359,250,1087,304,532
285,19592,18427,26543,21164,17298,22180,22093,16628,21509,16515,16037,16161,20820,20647,19761,20451,19467,20192,20383,20600
286,537,769,844,597,282,999,1572,725,1012,1137,605,1378,529,1020,623,1016,1808,403,578,265
287,1211,1029,1011,907,968,1053,1038,840,902,1008,849,865,1027,1008,1097,809,1290,491,1192,904
288,4731,5935,6080,4812,5484,6095,6276,5163,7469,6168,5779,5451,4109,6920,4899,6667,7155,6473,4899,6007
289,837,703,873,740,764,872,1182,769,1032,739,841,924,964,714,1164,788,1077,808,872,450
290,9670,10155,11963,9552,10743,10876,12674,9045,11333,9796,7851,7458,9188,8920,9668,7960,11989,9248,11874,9184
291,13090,12334,15347,11683,12145,12790,12394,10573,12799,11180,9963,11394,11947,13790,12712,11487,13293,12696,12310,11259
292,2483,665,766,366,767,451,785,2508,5951,261,4480,889,572,320,497,523,609,723,522,396
293,2780,2662,2503,2333,2520,2716,2669,1968,3486,2573,2175,1871,4654,2215,2073,2537,2852,2260,2582,1858
294,3938,4038,3559,1442,3198,13631,4188,7035,3899,2994,7964,3442,3280,3712,3043,3704,4704,3145,3590,3237
295,6456,6670,8299,6322,3253,1581,6002,6983,6974,7293,4479,6887,6697,8422,7768,8330,6087,8860,5682,8030
296,2854,2364,2918,3463,2778,2841,2635,2547,3055,2460,1567,3099,3434,2573,3258,2792,2708,2173,2766,1394
297,5067,5162,7294,6726,5240,6495,6167,5359,3846,5599,5040,6226,3414,6370,6932,5501,6857,5895,6167,5891
298,5614,5051,7909,7448,3769,5856,6209,4251,2579,4473,5312,7502,7225,5654,7238,3714,5478,5766,6590,7551
299,1476,3860,2236,2045,1023,1879,2045,1143,1973,1438,4353,3719,1242,1322,1732,640,1418,3035,1679,2789
300,1209,915,1100,927,886,658,1114,754,877,719,252,791,897,828,1102,808,997,659,861,1126
301,27817,6161,23696,13585,6714,18416,32061,8187,26366,21845,23455,28689,32652,28844,29170,27250,32343,32004,34221,23620
302,10328,12096,10265,15031,9202,14734,22877,11530,11665,13569,15378,11396,11597,12553,9028,18624,17652,9747,10619,11316
303,5191,2012,4700,3437,1712,6512,6639,1381,3791,2291,2007,2102,2991,2500,5995,1537,1536,4907,4139,6029
304,1798,1334,1557,1556,971,1566,1314,1219,1669,1924,1357,1981,2252,1491,1702,1665,1250,1103,1672,1630
305,579,799,991,1011,803,1058,894,1012,1289,450,638,834,339,1055,566,440,747,851,932,461
306,20357,10967,18347,13156,11801,2499,15081,2603,15408,16593,8693,13656,12915,2485,16143,3217,20646,21068,23098,17043
307,1465,1815,1501,2273,1067,1761,1678,1412,520,2024,1595,1777,570,1506,1439,904,1794,2058,2084,1890
308,5974,18367,26253,22892,16267,15032,17602,13061,4812,18239,10777,19910,19503,15536,6347,18074,11691,15540,10203,18236
309,2317,2400,1513,1446,1922,2082,3024,1903,1619,1675,1893,1739,1756,814,1612,1503,2300,1769,2196,1743
310,2411,1737,2064,1752,1978,1583,1976,1433,1445,1681,1660,1658,1736,2201,1460,1650,2517,1417,2103,1637
311,4019,2320,3074,4576,2209,4718,3894,3248,3994,4756,5540,4900,3555,4257,3667,2329,5951,657,2571,1782
312,80135,49083,73254,25414,50771,62041,72344,67935,44804,60549,49223,64469,90982,39574,104709,62973,74795,52786,75825,85672
313,47883,30022,42647,44890,40293,34556,28946,34330,30368,30887,15729,21533,36456,41560,39990,46782,20555,45313,43751,33599
314,58116,52008,61468,68668,50537,58782,62993,48005,61836,50645,64191,77104,95937,65532,72111,48808,70502,59054,67203,81482
315,4627,3690,3528,4014,3366,3932,3515,3918,3357,3929,3490,3865,3808,2490,2538,2905,1710,2643,3576,4348
316,6095,6196,7288,9633,5333,7549,6593,7789,4538,6458,6073,8304,9179,5578,5411,6824,6917,4137,6977,8271
317,157726,151261,166613,144493,130864,133958,141796,119763,145484,137607,144075,130394,133058,146171,150401,132119,152175,147692,153981,155267
318,1571,2234,1405,12702,2275,1150,3254,12142,1900,1493,4919,3816,7103,2270,10349,5990,1221,605,3249,1312
319,9664,7226,10593,11635,7400,7495,9447,11098,7368,7511,7605,8594,10969,6522,12134,8444,6103,9067,8103,11402
320,27757,23480,25925,20230,22035,26121,22307,18120,28070,31694,21266,31450,35256,23690,27422,22895,31877,23742,29965,23534
321,14178,10215,23510,18806,11987,12955,14148,14495,13010,13696,18010,20364,12949,12818,24534,13435,8208,11588,14212,17494
322,19262,10335,17152,14362,15582,14750,16718,14907,17302,20270,12630,17493,12176,19317,15070,16712,15953,18073,12743,8353
323,22581,23077,30672,28020,22944,25315,25764,22567,24666,21573,19733,23074,25308,15314,27736,22291,28169,24101,27446,24240
324,10218,9771,12074,10833,10754,8909,13597,10288,11376,14373,11913,12342,11708,15605,9491,14548,14945,13541,9925,13329
325,8883,9109,10175,9879,7510,9565,9085,11352,8866,8307,10153,13119,16375,3440,12791,9927,8360,8999,8928,11007
326,14595,16944,22308,21319,11091,19274,7271,13794,19459,16984,14839,16874,18193,11484,19238,16821,20430,17686,17133,17873
327,2605,2378,2544,2544,786,2929,2833,1781,2459,2247,2350,2602,2287,2491,1762,2612,2850,2619,1266,2268
