Dim.1,Dim.2,Dim.3,Dim.4,Dim.5
0.710390112956671,0.10657045070547,0.488695156701964,-0.223367793239785,-0.0239114552395652
0.194198191961716,0.516273398116885,0.592381129558555,-0.262717370504919,0.166618217595403
0.907993657172581,0.0618794533350304,0.171296027562661,0.157156190236699,-0.13145102652344
0.844426414584308,0.0908041040419057,0.261816687881107,0.140547189685304,0.0941307660391152
0.86242462997651,0.128607333196969,-0.169633604058991,0.00317929088523082,0.192123385778295
-0.543184846549923,-0.131928107269278,-0.143104621241025,0.386519493931538,-0.101422429351818
0.24657015188538,0.516207306030247,0.0270736311395474,-0.191355972392462,-0.0764440556480747
0.750844969465383,0.28629771901097,0.224153227457069,0.0519611869664979,0.225775308943552
0.613712894074448,0.335540085065626,0.0254424406220975,-0.359910799941041,-0.102401491881713
0.798728746450968,-0.0846973236843046,0.121382941003155,0.303131071467863,-0.0793749214530869
-0.553793139125242,-0.533429042477779,0.434518512108908,0.24792134293272,-0.132474742423285
-0.85891878730939,0.0366875210270268,0.281881058304859,0.139670289291898,-0.0362380878059798
0.0104586444481426,-0.437854536048841,-0.177011549125642,0.222514311906744,0.134280712466342
-0.104562298613637,0.553030505652618,0.43467715141175,-0.267783739851366,0.404028556798413
0.774817870804015,0.221543195749292,0.204542308790755,0.181098757026688,0.0594907982402873
0.678686886813809,0.0942939188206675,0.0909732676296947,0.214422810025075,0.0334043265006844
-0.670423690517971,-0.469336222029479,0.447778695733765,0.201789649930751,-0.122685145346573
0.614920735828433,0.382402477334836,-0.369727684954679,-0.0427005929355834,0.14650755505677
0.846765975516354,-0.163121451864619,-0.150234505900413,0.0922029323006067,0.285441591907566
0.950360734882804,-0.127333386905725,0.0402895906480001,-0.0347874027253076,0.0558099496205392
-0.0539472404274639,0.275696656482791,0.0426325556953366,-0.299203323586175,0.0245919211231246
-0.0771227453907833,-0.000110008200402284,-0.258538147852398,-0.406652958579768,-0.195986037761774
0.316218576574099,0.694336456826524,0.115365273890519,0.104551253807564,0.0340045493074836
0.106414374070728,-0.141823289714697,-0.51860466548006,-0.0945764115882389,0.270134134182964
-0.124929614252991,-0.537659790305535,0.179986245620091,0.238033374604294,-0.140704833048588
-0.298575354754617,-0.190168223597022,-0.00979782298677575,-0.00519819709921031,-0.201365771580008
0.907413032933469,-0.0206613891832235,0.188742576952337,0.171835685872542,-0.0194320601468502
-0.416313125079587,0.618028104443146,0.144104722123821,-0.0873289942161697,0.097050209852539
0.862057619481138,-0.00776246739994239,0.363617994351161,0.214375503112735,0.034324554172784
0.232881700752778,0.0997836348600961,-0.112223094747601,-0.0264162523111682,-0.366893141162169
-0.71879345390924,-0.160828831449037,0.245955806192198,-0.233092483159382,-0.0272104630362175
