"","PubChem","KEGG","InChI Key","label"
"71","152867","","IAJILQKETJEXLJ-UHFFFAOYSA-N","hexuronic.acid"
"72","453","C00392","FBPFZTCFMRRESA-UHFFFAOYSA-N","hexitol"
"73","10465","","KEMQGTRYUADPNZ-UHFFFAOYSA-N","heptadecanoic.acid"
"74","6802","C00387","NYHBQMYGNKIUIF-UUOKFMHZSA-N","guanosine"
"75","757","C00160","AEMRFAOFKBGASW-UHFFFAOYSA-N","glycolic.acid"
"76","750","C00037","DHMQDGOQFOQNFH-UHFFFAOYSA-N","glycine"
"77","754","C03189","AWUCVROLDVIAJX-UHFFFAOYSA-N","glycerol.alpha.phosphate"
"78","753","C00116","PEDCQBHIVMGVHV-UHFFFAOYSA-N","glycerol"
"79","439194","C00258","RBNPOMFGQQGHHO-UWTATZPHSA-N","glyceric.acid"
"80","5961","C00064","ZDXPYRJPNDTMRX-VKHMYHEASA-N","glutamine"
"81","33032","C00025","WHUUTDBJXJRKMK-VKHMYHEASA-N","glutamic.acid"
"82","64689","C00221","WQZGKKKJIJFFOK-VFUOTHLCSA-N","glucose"
"83","6857417","C00800","RGHNJXZEOKUKBD-QTBDOELSSA-N","gluconic.acid"
"84","5460044","C01507","FBPFZTCFMRRESA-UNTFVMJOSA-N","galactitol"
"85","444972","C00122","VZCYOOQTPOCHFL-OWOJBTEDSA-N","fumaric.acid"
"86","439650","C02095","SHZGCJCMOBCMKK-FPRJBGLDSA-N","fucose"
"87","5325915","C02341","SGMJBNSHAZVGMC-PWNYCUMCSA-N","erythronic.acid.lactone"
"88","222285","C00503","UNXHWFMMPAWVPI-ZXZARUISSA-N","erythritol"
"89","8193","C02277","LQZZUXJYWNFBMV-UHFFFAOYSA-N","dodecanol"
"90","440667","C05422","SBJKKFFYIZUCET-JLAZNSOCSA-N","dehydroascorbic.acid"
"91","94391","C12078","NFWKVWVWBFBAOV-MISYRCLQSA-N","dehydroabietic.acid"
"92","595","C01420","LEVWYRKDKASIDU-UHFFFAOYSA-N","cystine"
"93","5862","C00097","XUJNEKJLAYXESH-REOHCLBHSA-N","cysteine"
"94","588","C00791","DDRJAANPRJIHGJ-UHFFFAOYSA-N","creatinine"
"95","9989541","","ZHMWOVGZCINIHW-SPHYCDKFSA-N","conduritol.beta.epoxide"
"96","9750","C00327","RHGKLRLOHDJJDR-BYPYZUCNSA-N","citrulline"
"97","311","C00158","KRKNYBCHXYNGOX-UHFFFAOYSA-N","citric.acid"
"98","5997","C00187","HVYWMOMLDIMFJA-DPAQBDIFSA-N","cholesterol"
"99","379","C06423","WWZKQHOCKIZLMA-UHFFFAOYSA-N","caprylic.acid"
"100","2969","C01571","GHVNFZFCNZKVNT-UHFFFAOYSA-N","capric.acid"
"101","239","C00099","UCMIRNVEIXFBKS-UHFFFAOYSA-N","beta.alanine"
"102","2879","C01468","WVDDGKGOMKODPV-UHFFFAOYSA-N","benzylalcohol"
"103","243","C00180","WPYMKLBDIGXBTP-UHFFFAOYSA-N","benzoic.acid"
"104","5960","C00049","CKLJMWTZIZZHCS-REOHCLBHSA-N","aspartic.acid"
"105","6267","C00152","DCXYFEDJOCDNAF-REOHCLBHSA-N","asparagine"
"106","444899","C00219","YZXBAPSDXZZRGB-DOFZRALJSA-N","arachidonic.acid"
"107","10467","C06425","VKOBVWXKNCXXDE-UHFFFAOYSA-N","arachidic.acid"
"108","100714","C00872","JINBYESILADKFW-UHFFFAOYSA-N","aminomalonate"
"109","5950","C00041","QNAYBMKLOCPYGJ-REOHCLBHSA-N","alanine"
"110","196","C06104","WNLRTRBMVRJNCN-UHFFFAOYSA-N","adipic.acid"
"111","6083","C00020","UDMBCSSLTHHNCD-KQYNXXCUSA-N","adenosine.5.monophosphate"
"112","60961","C00212","OIRDTQYFTABQOQ-KQYNXXCUSA-N","adenosine"
"113","151266","","SKCKOFZKJLZSFA-JGWLITMVSA-N","X6.deoxyglucitol"
"114","10413","C00989","SJZRECIVHVDYJC-UHFFFAOYSA-N","X4.hydroxybutyric.acid"
"115","92135","C01089","WHBMMWSBFZVSSR-GSVOUGTGSA-N","X3.hydroxybutyric.acid"
"116","16069996","C06474","WZYRMLAWNVOIEX-BGPJRJDNSA-N","X3.6.anhydro.D.galactose"
"117","70","C00233","BKAJNAXTPSGJCU-UHFFFAOYSA-N","X2.ketoisocaproic.acid"
"118","43","C02630","HWXBTNAVRSUOJR-UHFFFAOYSA-N","X2.hydroxyglutaric.acid"
"119","440864","C05984","AFENDNXGAFYKQO-VKHMYHEASA-N","X2.hydroxybutanoic.acid"
"120","150929","","DZAIOXUZHHTJKN-UHFFFAOYSA-N","X2.deoxytetronic.acid"
"121","14900","C01885","QHZLMUACJMDIAE-UHFFFAOYSA-N","X1.monopalmitin"
"122","2108","","HOVAGTYPODGVJG-UHFFFAOYSA-N","X1.methylgalactose.NIST"
"123","","","","X610256"
"124","","","","X204994"
"125","","","","X203812"
"126","","","","X196901"
"127","","","","X192876"
"128","","","","X191802"
"129","","","","X183508"
"130","","","","X183433"
"131","","","","X183139"
"132","","","","X183115"
"133","","","","X183049"
"134","","","","X172624"
"135","","","","X171564"
"136","","","","X171303"
"137","","","","X170232"
"138","","","","X170069"
"139","","","","X168759"
"140","","","","X161878"
"141","","","","X161875"
"142","","","","X146277"
"143","","","","X136398"
"144","","","","X135619"
"145","","","","X135260"
"146","","","","X134336"
"147","","","","X133612"
"148","","","","X133605"
"149","","","","X133340"
"150","","","","X133242"
"151","","","","X132976"
"152","","","","X131620"
"153","","","","X129225"
"154","","","","X126423"
"155","","","","X126354"
"156","","","","X126345"
"157","","","","X124996"
"158","","","","X124903"
"159","","","","X122191"
"160","","","","X121890"
"161","","","","X121468"
"162","","","","X121467"
"163","","","","X121002"
"164","","","","X120744"
"165","","","","X120562"
"166","","","","X119167"
"167","","","","X119129"
"168","","","","X119054"
"169","","","","X119026"
"170","","","","X119023"
"171","","","","X112556"
"172","","","","X112530"
"173","","","","X112487"
"174","","","","X112264"
"175","","","","X110570"
"176","","","","X110501"
"177","","","","X110321"
"178","","","","X110183"
"179","","","","X110170"
"180","","","","X110013"
"181","","","","X110008"
"182","","","","X109386"
"183","","","","X107960"
"184","","","","X107276"
"185","","","","X107274"
"186","","","","X106936"
"187","","","","X106697"
"188","","","","X105450"
"189","","","","X104123"
"190","","","","X100730"
"191","","","","X98101"
"192","","","","X98027"
"193","","","","X97891"
"194","","","","X97884"
"195","","","","X97708"
"196","","","","X95410"
"197","","","","X91421"
"198","","","","X88502"
"199","","","","X84721"
"200","","","","X64712"
"201","","","","X62263"
"202","","","","X50367"
"203","","","","X48428"
"204","","","","X47492"
"205","","","","X47358"
"206","","","","X47221"
"207","","","","X46292"
"208","","","","X46272"
"209","","","","X46128"
"210","","","","X43734"
"211","","","","X42525"
"212","","","","X42187"
"213","","","","X42003"
"214","","","","X41989"
"215","","","","X41985"
"216","","","","X41811"
"217","","","","X41808"
"218","","","","X41683"
"219","","","","X34146"
"220","","","","X34089"
"221","","","","X33462"
"222","","","","X33415"
"223","","","","X31962"
"224","","","","X31559"
"225","","","","X31554"
"226","","","","X31408"
"227","","","","X31359"
"228","","","","X31285"
"229","","","","X31223"
"230","","","","X23635"
"231","","","","X22863"
"232","","","","X22444"
"233","","","","X20297"
"234","","","","X18488"
"235","","","","X17664"
"236","","","","X17651"
"237","","","","X17541"
"238","","","","X17068"
"239","","","","X16794"
"240","","","","X16788"
"241","","","","X16572"
"242","","","","X14736"
"243","","","","X12444"
"244","","","","X11523"
"245","","","","X8270"
"246","","","","X7490"
"247","","","","X6767"
"248","","","","X6646"
"249","","","","X6376"
"250","","","","X6066"
"251","","","","X5990"
"252","","","","X5930"
"253","","","","X5837"
"254","","","","X5691"
"255","","","","X5483"
"256","","","","X5471"
"257","","","","X5396"
"258","","","","X5346"
"259","","","","X5276"
"260","","","","X5269"
"261","","","","X5259"
"262","","","","X5085"
"263","","","","X4986"
"264","","","","X4945"
"265","","","","X4937"
"266","","","","X4929"
"267","","","","X4898"
"268","","","","X4887"
"269","","","","X4871"
"270","","","","X4863"
"271","","","","X4793"
"272","","","","X4746"
"273","","","","X4600"
"274","","","","X4579"
"275","","","","X4577"
"276","","","","X4546"
"277","","","","X4543"
"278","","","","X4536"
"279","","","","X4531"
"280","","","","X4219"
"281","","","","X3465"
"282","","","","X3381"
"283","","","","X3228"
"284","","","","X3029"
"285","","","","X2936"
"286","","","","X2806"
"287","","","","X2575"
"288","","","","X2476"
"289","","","","X2233"
"290","","","","X2097"
"291","","","","X2061"
"292","","","","X2001"
"293","","","","X1996"
"294","","","","X1981"
"295","","","","X1941"
"296","","","","X1912"
"297","","","","X1878"
"298","","","","X1875"
"299","","","","X1704"
"300","","","","X1700"
"301","","","","X1029"
"302","","","","X915"
"303","","","","X892"
"304","","","","X816"
"305","","","","X812"
"306","","","","X657"
"307","","","","X592"
"308"," ","","                           ","X573"
"309","","","","X473"
"310","","","                           ","X462"
"311","","","","X458"
"312","","","","X453"
"313","","","","X443"
"314","","","","X307"
"315","","","","X299"
"316","","","","X257"
"317","","","","X137"
"318","","","","X134"
"319","","","","X110"
"320","","","","X99"
"321","","","","X98"
"322","","","","X91"
"323","","","","X62"
"324","","","","X61"
"325","","","","X54"
"326","","","","X47"
"327","","","","X39"
