"","BinBase name","ret.index","quant mz","BB id","PubChem","KEGG","InChI Key"
"425","2061","250126","85","2061","","",""
"426","2039","834909","131","2039","","",""
"427","2001","832283","98","2001","","",""
"428","1996","320124","156","1996","","",""
"429","1981","422675","103","1981","","",""
"430","1941","417425","142","1941","","",""
"431","1925","260952","184","1925","","",""
"432","1922","235421","128","1922","","",""
"433","1912","855692","187","1912","","",""
"434","1878","573497","85","1878","","",""
"435","1875","592702","85","1875","","",""
"436","1872","471634","85","1872","","",""
"437","1862","219219","174","1862","","",""
"438","1806","642597","174","1806","","",""
"439","1772","765381","152","1772","","",""
"440","1708","759197","156","1708","","",""
"441","1706","801178","163","1706","","",""
"442","1704","505341","223","1704","","",""
"443","1064","594945","117","1064","","",""
"444","1029","220340","85","1029","","",""
"445","892","478262","155","892","","",""
"446","816","737051","217","816","","",""
"447","812","370598","120","812","","",""
"448","782","571259","304","782","","",""
"449","657","227730","173","657","","",""
"450","573","1029621","129","573","65095","","WJNGQIYEQLPJMN-IOSLPCCCSA-N"
"451","458","738853","113","458","","",""
"452","453","280176","86","453","","",""
"453","448","311994","231","448","","",""
"454","443","222093","131","443","","",""
"455","307","637461","174","307","","",""
"456","299","430778","104","299","","",""
"457","236","874932","129","236","","",""
"458","168","878989","122","168","","",""
"459","137","246162","204","137","","",""
"460","134","974612","144","134","","",""
"461","99","701191","204","99","","",""
"462","91","221732","100","91","","",""
"463","62","247887","85","62","","",""
"464","54","773271","211","54","","",""
"465","47","354110","85","47","","",""
