"","BinBase name","ret.index","quant mz","BB id","PubChem","KEGG","InChI Key"
"58","nicotinamide","471602","179","84542","936","C00153","DFPAKSUCGFBDDF-UHFFFAOYSA-N"
"59","N-acetylmannosamine","735323","319","3244","439281","C00645","OVRNDRQMDRJTHS-ZTVVOAFPSA-N"
"60","N-acetylglycine NIST","356109","174","97747","10972","","OKJIRPAQVSHGFK-UHFFFAOYSA-N"
"61","n-acetylglutamate","477776","158","84199","70914","C00624","RFMMMVDNIPUKGG-YFKPBYRVSA-N"
"62","N-acetyl-D-tryptophan","859454","202","131996","439917","C03137","DZTHIGRZJZPRDV-GFCCVEGCSA-N"
"63","n-acetyl-d-hexosamine","746341","319","1674","24139","C03878","OVRNDRQMDRJTHS-FMDGEEDCSA-N"
"64","myristic acid","634414","285","127","11005","C06424","TUNFSRHWOTWDNC-UHFFFAOYSA-N"
"65","myo-inositol","730022","305","1741","892","C00137","CDAISMWEOUEBRE-UHFFFAOYSA-N"
"66","methionine sulfoxide","637588","128","1678","158980","C02989","QEFRNWWLZKMPFJ-YGVKFDHGSA-N"
"67","methionine","483560","176","45","6137","C00073","FFEARJCKVFRZRR-BYPYZUCNSA-N"
"68","methanolphosphate","289520","241","5393","13130","","CAAULPUQFIIOTL-UHFFFAOYSA-N"
"69","mannose","645856","205","70","18950","C00159","WQZGKKKJIJFFOK-QTVWNMPRSA-N"
"70","mannonic acid NIST","689527","333","84667","3246006","C00514","RGHNJXZEOKUKBD-MBMOQRBOSA-N"
"71","mannitol","663215","319","17883","6251","C00392","FBPFZTCFMRRESA-KVTDHHQDSA-N"
"72","malonic acid","305372","233","16918","867","C00383","OFOBLEOULBTSOW-UHFFFAOYSA-N"
"73","malic acid","463180","233","1391","525","C00711","BJEPYKJPYRNKOW-UHFFFAOYSA-N"
"74","lyxose","541086","217","85112","439240","C00476","SRBFZHDQGSBBOR-AGQMPKSLSA-N"
"75","lyxitol","573587","217","233","439255","C00532","HEBKCHPVOIAQTA-IMJSIDKUSA-N"
"76","lysine","663483","156","12","5962","C00047","KDXKERNSBIXSRK-YFKPBYRVSA-N"
"77","linolenic acid","780376","108","4704","5280934","C06427","DTOSIQBPPRVQHS-PDBXOOCHSA-N"
"78","linoleic acid","777414","150","165","5280450","C01595","OYHQOLUKZRVURQ-HZJYTTRNSA-N"
"79","leucine","345845","158","1794","6106","C00123","ROHFNLRQFUQHCH-YFKPBYRVSA-N"
"80","lauric acid","547906","117","49","3893","C02679","POULHZVOKOAJMA-UHFFFAOYSA-N"
"81","lactulose","929908","204","6432","11333","C07064","JCQLYHFGKNRPGE-FCVZTGTOSA-N"
"82","lactic acid","217657","191","80","612","C01432","JVTAAEKCZFNVCJ-UHFFFAOYSA-N"
"83","lactamide","265698","232","415","94220","","SXQFCVDSOLSHOQ-UHFFFAOYSA-N"
"84","kynurenine","769520","192","66577","846","C01718","YGPSJZOEDVAXAB-UHFFFAOYSA-N"
"85","itaconic acid","386511","147","101725","811","C00490","LVHBHZANLOWSRM-UHFFFAOYSA-N"
"86","isothreonic acid","489385","292","1679","151152","C00639","JPIJQSOTBSSVTP-GBXIJSLDSA-N"
"87","isothreitol","464779","217","16903","169019","C16884","UNXHWFMMPAWVPI-QWWZWVQMSA-N"
"88","isoleucine","359251","158","15","6306","C00407","AGPKZVBTJJNPAG-WHFBIAKZSA-N"
"89","isohexonic acid","698302","333","100866","604","","RGHNJXZEOKUKBD-UHFFFAOYSA-N"
"90","isocitric acid","617338","245","32122","5318532","C00451","ODBLHEXUDAPZAU-ZAFYKAAXSA-N"
"91","inosine","897184","230","1728","6021","C00294","UGQMRVRMYYASKQ-KQYNXXCUSA-N"
"92","indoxyl sulfate","577333","277","31543","10258","","BXFFHSIDQOFMLE-UHFFFAOYSA-N"
"93","indole-3-lactate","764586","202","724","92904","C02043","XGILAAMKEQUXLS-UHFFFAOYSA-N"
"94","indole-3-acetate","684929","202","69","802","C00954","SEOVTRFCIGRIMH-UHFFFAOYSA-N"
"95","hydroxylamine","253158","146","4211","787","C00192","AVXURJPOCDRRFD-UHFFFAOYSA-N"
"96","hydroxycarbamate NIST","325318","278","130396","16639161","","DRAJWRKLRBNJRQ-UHFFFAOYSA-M"
"97","hydrocinnamic acid","434422","104","114270","107","C05629","XMIIGOLPHOKFCH-UHFFFAOYSA-N"
"98","histidine","664395","154","58170","6274","C00135","HNDVDQJCIGZPNO-YFKPBYRVSA-N"
"99","hexuronic acid","667373","160","4554","152867","","IAJILQKETJEXLJ-UHFFFAOYSA-N"
"100","hexose","642640","319","20287","206","C00738","WQZGKKKJIJFFOK-UHFFFAOYSA-N"
"101","hexitol","704741","217","255","453","C00392","FBPFZTCFMRRESA-UHFFFAOYSA-N"
"102","hexadecane","525964","85","120765","11006","","DCAYPVUWAIABOU-UHFFFAOYSA-N"
"103","heptadecanoic acid","751309","117","727","10465","","KEMQGTRYUADPNZ-UHFFFAOYSA-N"
"104","glycyl proline","691357","174","18496","3013625","","KZNQNBZMBZJQJO-YFKPBYRVSA-N"
"105","glycolic acid","227636","177","1971","757","C00160","AEMRFAOFKBGASW-UHFFFAOYSA-N"
"106","glycine","368707","248","6","750","C00037","DHMQDGOQFOQNFH-UHFFFAOYSA-N"
"107","glycerol-alpha-phosphate","590747","357","1687","754","C03189","AWUCVROLDVIAJX-UHFFFAOYSA-N"
"108","glycerol","344466","205","30","753","C00116","PEDCQBHIVMGVHV-UHFFFAOYSA-N"
"109","glyceric acid","377495","189","48","439194","C00258","RBNPOMFGQQGHHO-UWTATZPHSA-N"
"110","glutaric acid","421260","261","1727","743","C00489","JFCQEDHGNNZCLN-UHFFFAOYSA-N"
"111","glutamine","600000","156","171972","5961","C00064","ZDXPYRJPNDTMRX-VKHMYHEASA-N"
"112","glutamic acid","527086","246","16576","33032","C00025","WHUUTDBJXJRKMK-VKHMYHEASA-N"
"113","glucose-6-phosphate","818275","387","308","5958","C00092","NBSCHQHZLSJFNQ-GASJEMHNSA-N"
"114","glucose-1-phosphate","597071","217","62291","65533","C00103","HXXFSFRBOHSIMQ-VFUOTHLCSA-N"
"115","glucose","659798","319","22","64689","C00221","WQZGKKKJIJFFOK-VFUOTHLCSA-N"
"116","gluconic acid","693148","333","7501","6857417","C00800","RGHNJXZEOKUKBD-QTBDOELSSA-N"
"117","glucoheptulose","828606","217","3191","5459879","C02076","HSNZZMHEPUFJNZ-SHUUEZRQSA-N"
"118","galacturonic acid","678231","333","100864","441476","C08348","AEMOLEFTQBMNLQ-DTEWXJGMSA-N"
"119","galactonic acid","690882","292","4706","128869","C00880","RGHNJXZEOKUKBD-MGCNEYSASA-N"
"120","fumaric acid","390016","245","14755","444972","C00122","VZCYOOQTPOCHFL-OWOJBTEDSA-N"
"121","fucose","578299","160","3009","439650","C02095","SHZGCJCMOBCMKK-FPRJBGLDSA-N"
"122","fructose","639442","307","21","439709","C02336","RFSUNEUAIZKAJO-ARQDHWQXSA-N"
"123","ethanolamine","344719","174","3212","700","C00189","HZAXFHJVJLSVMW-UHFFFAOYSA-N"
"124","docosahexaenoic acid","902819","91","87709","445580","C06429","MBMBGCFOFBJSGT-KUBAVDMBSA-N"
"125","deoxypentitol","528774","231","33037","270738","","FJGNTEKSQVNVTJ-UHFFFAOYSA-N"
"126","dehydroascorbic acid","633423","173","3163","440667","C05422","SBJKKFFYIZUCET-JLAZNSOCSA-N"
"127","cystine","804619","218","94","595","C01420","LEVWYRKDKASIDU-UHFFFAOYSA-N"
"128","cysteine","500158","220","65","5862","C00097","XUJNEKJLAYXESH-REOHCLBHSA-N"
