			mx sample	304424	304423	304422	304421	304420	304419	304404	304405	304406	304407	304408	304409	304410	304412	304413	304414	304415	304416	304417	304418
			label	2.16.2016_001	3.01.2016_002	3.15.2016_003	3.29.2016_004	4.12.2016_005	4.26.2016_006	5.10.2016_007	5.24.2016_008	6.07.2016_009	6.21.2016_010	7.05.2016_011	7.19.2016_012	8.02.2016_013	8.16.2016_014	8.30.2016_015	9.13.2016_016	9.27.2016_017	10.18.2016_018	11.01.2016_019	11.29.2016_020
			species	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human
			organ	serum	serum	serum	serum	serum	serum	serum	serum	serum	serum	serum	serum	serum	serum	serum	serum	serum	serum	serum	serum
			treatment	 1 - Pre-meditation	 1 - Pre-meditation	 1 - Pre-meditation	 1 - Pre-meditation	 1 - Pre-meditation	 1 - Pre-meditation	 1 - Pre-meditation	 1 - Pre-meditation	 1 - Pre-meditation	 1 - Pre-meditation	 1 - Pre-meditation	 1 - Pre-meditation	 1 - Pre-meditation	 2 - Meditation	 2 - Meditation	 2 - Meditation	 2 - Meditation	 2 - Meditation	 2 - Meditation	 2 - Meditation
PubChem	KEGG	InChI Key	label	170104aOEsa17_1	170104aOEsa13_1	170104aOEsa03_1	170104aOEsa06_1	170104aOEsa15_1	170104aOEsa10_1	170104aOEsa16_1	170104aOEsa05_1	170104aOEsa19_1	170104aOEsa12_1	170104aOEsa04_1	170104aOEsa09_1	170104aOEsa08_1	170104aOEsa14_1	170104aOEsa07_1	170104aOEsa02_1	170104aOEsa20_1	170104aOEsa11_1	170104aOEsa18_1	170104aOEsa01_1
338	C00805	YGSDEFSMJLZEOE-UHFFFAOYSA-N	salicylic acid	2351	1607	1995	1076	1289	1114	1947	1301	1610	1032	1286	1410	1229	1350	1236	1803	1516	1701	1675	1490
5779	C00121	HMFHBZSHGGEWLO-SOOFDHNKSA-N	ribose	3086	1365	1740	1876	923	948	1395	1051	1726	2008	2940	1294	1517	1240	1375	1060	1346	1104	1203	757
5460677	C01685	QXKAIJAYHKCRRA-BXXZVTAOSA-N	ribonic acid	412	648	636	834	609	584	1044	535	784	274	450	627	720	946	576	856	856	505	860	642
827	C00474	HEBKCHPVOIAQTA-ZXFHETKHSA-N	ribitol	748	679	927	823	715	726	985	810	808	900	779	798	969	860	713	819	1098	716	989	898
1023	C00013	XPPKVPWEQAFLFU-UHFFFAOYSA-N	pyrophosphate	1994	3344	1101	1779	1204	1198	2548	1126	2334	3420	1467	2121	1346	2981	657	1969	1739	282	3432	210
15047	C02067	PTJWIQPHWPFNBW-GBNDHIKLSA-N	pseudo uridine	4846	4137	4803	3897	3617	1765	1833	2165	4170	3523	4631	5055	6278	3834	3887	5132	4703	3685	4058	4634
10442	C02457	YPFDHNVEDLHUCE-UHFFFAOYSA-N	propane-1,3-diol NIST	9921	8559	11458	8863	7546	8260	10430	7644	8505	8328	7925	8560	8724	9204	9434	8568	9330	9325	9187	7887
145742	C00148	ONIBWKKTOPOVIA-BYPYZUCNSA-N	proline	131072	247074	175671	265548	175074	310856	235528	259617	202086	226511	310619	216562	93820	238597	121014	211750	183511	206857	222767	192375
6931662		HXEACLLIILLPRG-RXMQYKEDSA-N	pipecolinic acid	485	561	392	438	1153	836	1353	487	435	308	463	451	609	509	376	1236	445	1815	316	408
1015	C00346	SUHOOTKUPISOBE-UHFFFAOYSA-N	phosphoethanolamine	962	773	794	788	1084	505	835	429	806	694	627	520	587	887	485	491	1235	873	1305	607
1004	C00009	NBIIXXVUZAFLBC-UHFFFAOYSA-N	phosphate	47138	41597	40197	37966	45811	26688	41574	38695	39011	51870	53718	42334	39568	20483	46468	36770	21537	48726	45136	44915
1001	C05332	BHHGXPLMPWCGHP-UHFFFAOYSA-N	phenylethylamine	2619	1562	1451	1866	985	2116	2967	2181	2042	1054	1519	2014	1666	1311	1821	1096	2572	837	2889	1086
6140	C00079	COLNVLDHVKWLRT-QMMMGPOBSA-N	phenylalanine	43731	44206	41835	46854	36776	41099	47462	40254	42255	49220	44811	45415	43521	50714	48053	41317	51615	46578	45601	52179
8158	C01601	FBUKVWPVBMHYJY-UHFFFAOYSA-N	pelargonic acid	19464	18201	39236	21458	23734	18242	22092	17732	22072	25802	15484	21770	16560	14050	17307	18379	18378	25406	19556	26282
445638	C08362	SECPZKHBENQXJG-FPLPWBNLSA-N	palmitoleic acid	1760	1719	1042	680	1259	208	168	321	1408	262	479	386	3023	833	579	642	629	837	474	583
985	C00249	IPCSVZSSVZVIGE-UHFFFAOYSA-N	palmitic acid	148557	92553	110237	93549	87005	86749	86713	87167	117422	83162	74426	90942	142321	82728	95924	88766	110054	93069	91969	94937
7405	C01879	ODHCTXKNWHHXJC-VKHMYHEASA-N	oxoproline	437772	449584	346248	359526	291677	337207	366797	392476	362288	308841	336804	320330	296816	338337	294885	282629	451947	325558	377825	310755
971	C00209	MUBZPKHOEPUJKR-UHFFFAOYSA-N	oxalic acid	3345	2557	3949	3808	3216	809	4040	3278	3577	3445	3543	3563	3618	3878	3315	3321	5085	3728	3567	3629
6262	C00077	AHLPHDHHMVZTML-BYPYZUCNSA-N	ornithine	64163	91868	79640	81844	63922	83898	69882	79782	81346	79307	75686	86944	99118	87424	82849	62870	82763	89061	86452	90781
445639	C00712	ZQPPMHVWECSIRJ-KTKRTIGZSA-N	oleic acid	29919	15429	10302	6403	13085	2160	2256	4924	12081	3120	5730	4829	24743	9172	5864	7920	6526	18088	6139	6696
5283387	C19670	FATBGEAMYMYZAF-KTKRTIGZSA-N	oleamide NIST	1037	1031	1341	34403	1808	1885	15082	1299	1558	1250	5520	1522	1102	1185	1465	1724	1158	1131	1122	828
